,Name,Team,Age,Height_cm,Weight_kg,Jersey_no,College,Games_played,Points_played,Posessions,Total scores,Assists,Goals,Blocks,+-,Completions,Cmp%,Yards,Throwing Yards,Receiving Yards,Offensive Effic,Hockey assists,Throwaways,Stalls,Drops,Calahans,Hucks,Huck completion %,Pulls,Offensive PP,Defensive PP,Minutes played
597,Thomas Hansen,PIT,,,,8,,6,53,33,2,0,2,1,3,10,,106,-4,110,39.39,0,0,0,0,0,0,,0,2,51,62
598,Wilson Matthews,CAR,,,,0,,4,43,36,3,2,1,0,3,15,,309,85,224,44.44,4,0,0,0,0,0,,0,0,43,55
599,Alan Gruntz,PIT,,,,37,,9,109,73,3,2,1,3,2,54,94.74,544,441,103,50.68,2,3,0,1,0,0,0.0,0,20,89,116
600,Andy Hipskind,IND,,,,19,,4,29,20,4,1,3,0,2,3,,97,15,82,60.0,0,0,0,2,0,0,,0,2,27,30
601,Andrew Ouchterlony,OTT,45,190.5,88.452,43,McMaster University,1,17,13,2,0,2,0,2,5,,181,24,157,,0,0,1,0,0,0,,0,3,14,23
602,Brandon Lafferty,MIN,,,,16,,4,56,47,6,6,0,2,2,31,86.11,557,415,142,59.57,3,5,0,1,0,4,66.67,21,5,51,55
603,Ben Simmonds,OTT,22,185.42,74.844,71,Carleton University,5,63,28,1,1,0,4,2,8,,145,62,83,53.57,0,1,0,2,0,0,0.0,0,1,62,67
604,Chris Cogswell,LA,28,187.96,,19,Cal Poly SLO,10,153,73,3,1,2,5,2,27,87.1,471,153,318,31.51,1,4,0,2,0,0,,6,12,141,168
605,Connor Russell,CAR,24,193.04,81.648,52,UNC-Wilmington,4,45,24,2,2,0,3,2,15,,193,102,91,50.0,0,3,0,0,0,1,50.0,15,0,45,57
606,Christopher Zaleski,PHI,,,,2,,2,21,17,2,1,1,0,2,7,,121,83,38,,0,0,0,0,0,0,,0,1,20,29
607,Drew Happe,IND,,,,43,,9,73,39,2,0,2,2,2,19,95.0,202,73,129,69.23,4,1,0,1,0,0,,0,5,68,79
608,David Woods,CHI,35,172.72,68.9472,77,Missouri State,1,11,6,2,1,1,0,2,3,,92,27,65,,0,0,0,0,0,0,,0,0,11,12
609,Eric Hubbard,COL,,,,55,,3,39,19,1,1,0,1,2,7,,85,43,42,,2,0,0,0,0,0,,0,0,39,37
610,Alex Liu,ATL,,,,13,,4,46,30,1,1,0,4,2,23,88.46,150,120,30,53.33,1,3,0,0,0,0,,0,0,46,55
611,Andrew Pillsbury,BOS,,,,55,,2,43,56,4,3,1,1,2,45,97.83,334,484,-150,48.21,4,0,0,3,0,3,100.0,0,41,2,43
612,Biz Schlaefer,MAD,,,,41,,4,37,21,2,1,1,2,2,22,100.0,344,233,111,52.38,4,0,0,2,0,0,,1,4,33,40
613,Ben Travers,POR,,,,20,,7,71,34,1,1,0,1,2,5,,93,25,68,23.53,1,0,0,0,0,0,,0,8,63,64
614,Cole Eustis,POR,,,,14,,4,77,43,3,1,2,2,2,19,90.48,295,120,175,44.19,2,2,0,1,0,1,100.0,1,4,73,70
615,Connor Tipping,PIT,,,,22,,2,22,12,2,2,0,0,2,5,,96,97,-1,,0,0,0,0,0,2,100.0,0,3,19,25
616,Devin Foster,PHI,,,,7,,6,58,34,3,2,1,3,2,12,,134,72,62,41.18,2,3,0,1,0,0,0.0,0,0,58,69
617,David Sealand,POR,,,,29,,3,61,27,2,0,2,1,2,8,,158,27,131,55.56,1,1,0,0,0,0,,0,0,61,60
618,David Zimmerman,DC,,,,20,,2,25,15,1,0,1,1,2,3,,89,32,57,,0,0,0,0,0,0,,0,0,25,32
619,Eli Janin,POR,,,,42,,1,29,35,6,5,1,0,2,26,86.67,616,453,163,48.57,3,4,0,0,0,4,100.0,0,29,0,20
620,Ethan Li,SD,,175.26,77.112,13,UCSD,4,44,27,2,1,1,0,2,11,,211,98,113,48.15,0,0,0,0,0,0,,0,0,44,44
621,Jake Baumer,LA,36,200.66,,42,CSU Long Beach,8,52,31,2,0,2,1,2,3,,126,8,118,25.81,0,0,0,1,0,0,,0,14,38,46
622,Jeremy Burril,CHI,26,175.26,74.844,12,Illinois State,1,8,11,1,0,1,2,2,4,,157,120,37,,0,1,0,0,0,1,50.0,0,0,8,16
623,Jake Taylor,BOS,,,,0,,3,59,76,3,2,1,3,2,96,97.96,924,795,129,52.63,8,1,0,3,0,1,100.0,0,58,1,62
624,Logan Clarke,SLC,,,,18,,3,34,32,2,0,2,0,2,5,,176,55,121,50.0,3,0,0,0,0,0,,0,0,34,42
625,Leo Pepper,POR,,,,16,,2,18,24,3,1,2,0,2,11,,140,65,75,62.5,2,0,0,1,0,0,,0,18,0,23
626,Marco Dregni,MIN,23,182.88,65.772,26,Lewis & Clark College,3,39,50,3,0,3,1,2,27,96.43,275,63,212,56.0,2,1,0,1,0,0,,0,31,8,44
627,Michael Lee,CAR,,,,3,,2,24,18,4,1,3,0,2,15,,163,47,116,,2,2,0,0,0,0,0.0,0,0,24,28
628,Milan Ravanell,LA,,,,89,,4,50,28,3,0,3,1,2,4,,142,22,120,35.71,1,2,0,0,0,0,0.0,0,0,50,51
629,Noah Celuch,PIT,,,,5,,7,81,58,3,1,2,0,2,25,96.15,260,14,246,43.1,4,1,0,0,0,0,0.0,0,27,54,85
630,Eli Motycka,ATL,,,,65,,2,31,42,5,4,1,0,2,48,96.0,539,421,118,50.0,2,2,0,1,0,2,100.0,0,31,0,41
631,Jacob Blackman,ATL,,,,64,,2,21,13,2,0,2,0,2,4,,76,25,51,,1,0,0,0,0,0,,0,0,21,25
632,Josh Kautz,MIN,30,187.96,79.38,11,University of Minnesota,2,14,3,1,0,1,1,2,1,,3,-1,4,,0,0,0,0,0,0,,0,0,14,9
633,Kainoa Chun Moy,POR,26,172.72,65.772,19,Air Force,2,62,68,11,8,3,0,2,83,91.21,1195,827,368,39.71,1,8,0,1,0,6,75.0,1,51,11,54
634,Luca Harwood,BOS,,,,11,,3,54,59,8,4,4,0,2,15,75.0,543,221,322,52.54,3,5,0,1,0,1,33.33,1,47,7,56
635,Myles Cooper,DAL,,,,20,,7,91,44,1,0,1,5,2,11,,148,38,110,38.64,1,4,0,0,0,0,,0,1,90,108
636,Michael Fairley,ATL,,,,5,,4,67,44,3,1,2,3,2,17,85.0,195,107,88,45.45,2,3,0,1,0,1,33.33,9,5,62,92
637,Max Ramstad,SEA,,,,45,,2,46,34,5,2,3,0,2,36,87.8,418,211,207,47.06,4,3,0,0,0,0,0.0,0,11,35,39
638,Nicholas Betsch,IND,,,,22,,2,15,8,2,1,1,0,2,5,,94,19,75,,1,0,0,0,0,0,,0,0,15,17
639,Noah Robinson,PIT,,,,21,,1,16,12,1,0,1,1,2,2,,39,-8,47,,0,0,0,0,0,0,,0,8,8,12
640,Noriaki To,NY,23,177.8,59.8752,27,Montclair State,2,23,9,1,0,1,1,2,7,,157,52,105,,1,0,0,0,0,0,,0,0,23,18
641,Peter Johnson,SEA,24,193.04,83.916,27,University of Washington,5,68,45,2,0,2,3,2,6,,241,27,214,31.11,1,1,0,2,0,0,0.0,0,10,58,65
642,Reid Bacon,ATX,,193.04,83.916,16,Trinity,2,26,25,1,0,1,1,2,6,,129,48,81,36.0,1,0,0,0,0,0,,0,0,26,32
643,Ryan Woodhouse,BOS,,,,33,,4,41,20,1,0,1,1,2,0,,4,0,4,35.0,0,0,0,0,0,0,,0,0,41,45
644,Samuel Dupont-Gratton,OTT,23,172.72,71.6688,23,Sherbrooke University,5,64,26,1,0,1,1,2,9,,177,55,122,42.31,0,0,0,0,0,0,,0,2,62,68
645,Sam Franer,POR,,,,30,,2,47,30,2,0,2,0,2,13,,130,15,115,33.33,0,0,0,0,0,0,,0,5,42,55
646,Thomas Duke,POR,,,,28,,5,87,42,3,2,1,3,2,30,93.75,340,266,74,23.81,1,2,0,2,0,2,100.0,39,12,75,68
647,Tucker Hoffman,MIN,,,,80,,1,9,4,2,1,1,0,2,1,,13,6,7,,0,0,0,0,0,0,,0,0,9,8
648,Walker Matthews,CAR,26,182.88,72.576,23,North Carolina,7,74,48,4,4,0,3,2,25,86.21,389,201,188,56.25,3,4,0,1,0,1,33.33,48,0,74,86
649,Xavier Prochaska,LA,,,,71,,4,52,58,3,1,2,0,2,23,95.83,307,122,185,43.1,1,1,0,0,0,0,,0,31,21,72
650,Oscar Graff,SLC,,,,13,,3,31,25,0,0,0,2,2,7,,81,8,73,28.0,0,0,0,0,0,0,,0,0,31,46
651,Paul Starkel,ATX,30,172.72,72.576,32,Texas State,12,234,278,22,13,9,1,2,408,95.33,3578,3467,111,58.27,31,18,0,3,0,8,72.73,0,233,1,237
652,Raphaël Lalonde-Landry,MTL,,,,23,,3,34,14,2,1,1,1,2,5,,98,44,54,,2,1,1,0,0,0,,0,0,34,36
653,Robert Yeagle,OAK,29,185.42,79.38,25,Carleton,7,140,191,21,7,14,0,2,84,87.5,1505,218,1287,52.36,9,11,0,8,0,2,40.0,0,140,0,138
654,Sam Feder,NY,27,172.72,65.772,31,Yale,4,45,28,2,0,2,2,2,8,,166,57,109,71.43,1,1,0,1,0,0,,0,0,45,47
655,Seth Wells,COL,,,,47,,4,52,23,2,1,1,0,2,19,,88,85,3,73.91,1,0,0,0,0,1,100.0,23,4,48,53
656,Trevor Elam,ATX,,,,22,,5,56,34,4,1,3,2,2,19,95.0,291,75,216,47.06,2,1,0,3,0,0,,1,0,56,59
657,Tyler Mitchuson,DET,,,,,,7,107,47,4,0,4,1,2,1,,118,9,109,34.04,0,2,0,1,0,0,,31,7,100,93
658,Will Turner,SD,28,180.34,70.308,14,California-Santa Barbara,4,79,51,3,2,1,2,2,56,96.55,622,444,178,52.94,7,2,0,1,0,2,66.67,30,17,62,91
659,Zac Schakner,SD,38,177.8,74.844,22,University of Wisconsin-Whitewater,11,122,69,4,2,2,2,2,25,89.29,476,148,328,36.23,0,3,0,1,0,1,100.0,1,0,122,146
660,Austin Engel,DET,,,,50,,1,25,21,2,1,1,1,1,33,97.06,208,266,-58,47.62,5,1,0,1,0,0,,1,15,10,24
661,Allan Michel,PHI,28,170.18,68.04,23,Drexel University,3,35,17,0,0,0,1,1,9,,58,17,41,,1,0,0,0,0,0,,0,0,35,34
662,Brandon Lamberty,DC,24,177.8,77.112,19,Temple University,6,82,35,4,4,0,0,1,26,89.66,278,154,124,60.0,4,3,0,0,0,1,25.0,58,1,81,75
663,Brian Wyer,BOS,,,,35,,3,26,9,0,0,0,1,1,1,,20,10,10,,1,0,0,0,0,0,,2,0,26,26
664,Clark Wang,SD,26,175.26,68.04,23,Wooster,1,11,11,1,0,1,0,1,6,,102,39,63,,2,0,0,0,0,0,,0,10,1,11
665,Declan Kervick,BOS,,,,12,,5,73,45,4,0,4,0,1,10,,354,170,184,48.89,2,3,0,0,0,1,50.0,0,0,73,79
666,David Lundy,TOR,31,180.34,,1,Western University,5,44,33,3,2,1,1,1,7,,153,39,114,39.39,0,3,0,0,0,0,,0,8,36,51
667,Davis Whitehead,BOS,,,,60,,2,29,12,1,1,0,1,1,9,,67,35,32,,1,1,0,0,0,0,,1,2,27,31
668,Elias Griffin,NY,,187.96,92.988,34,Hamilton,1,12,2,1,0,1,0,1,0,,32,0,32,,0,0,0,0,0,0,,0,0,12,8
669,Edmund Un,TOR,23,177.8,,10,University of Waterloo,3,29,14,1,0,1,1,1,5,,15,20,-5,,0,1,0,0,0,0,,0,0,29,30
670,Andrew Lord,DAL,,,,40,,4,57,42,2,2,0,3,1,22,78.57,285,213,72,50.0,2,4,0,0,0,1,50.0,0,14,43,77
671,Adam Turcotte,TOR,25,187.96,,92,York University,9,203,217,18,14,4,7,1,208,89.27,2640,1325,1315,45.16,16,22,0,2,0,7,46.67,0,171,32,218
672,Brett Matzuka,IND,37,172.72,61.236,4,University of Queensland (AUS),5,114,92,6,2,4,3,1,178,94.68,1314,1024,290,52.17,12,7,1,1,0,4,100.0,2,55,59,127
673,Charles Guay,MTL,,,,11,,4,25,8,0,0,0,1,1,3,,40,8,32,,0,0,0,0,0,0,,0,0,25,26
674,Daniel Emmons,DAL,,195.57999999999998,83.916,18,North Texas,1,9,6,0,0,0,1,1,1,,12,3,9,,0,0,0,0,0,0,,4,1,8,15
675,Dylan Latham McGraw,COL,,,,37,,2,22,11,0,0,0,1,1,4,,54,65,-11,,0,0,0,0,0,0,,20,0,22,20
676,Darren Phillips,DAL,,,,76,,2,27,15,1,1,0,1,1,7,,167,99,68,,0,1,0,0,0,1,50.0,0,2,25,37
677,Daniel Winter,DAL,,,,30,,2,18,10,1,0,1,0,1,1,,66,9,57,,0,0,0,0,0,0,,0,0,18,22
678,Elliott Rosenberg,BOS,,,,19,,4,48,33,1,1,0,0,1,16,,173,100,73,51.52,1,0,0,0,0,0,,0,7,41,57
679,Grant Cole,POR,,,,99,,5,69,39,3,2,1,0,1,25,89.29,251,168,83,33.33,4,2,0,0,0,0,,0,5,64,74
680,Grant Maynard,DET,,,,3,,3,41,56,2,0,2,0,1,15,,324,87,237,46.43,2,1,0,0,0,0,,0,41,0,38
681,Isaac Hsu,LA,,,,3,,3,29,11,1,1,0,0,1,6,,171,17,154,,0,0,0,0,0,0,,0,0,29,31
682,Jesse Bolton,SEA,,,,42,,3,23,24,3,2,1,0,1,25,86.21,336,289,47,50.0,1,2,0,0,0,2,66.67,0,18,5,23
683,Jackson Carol,POR,,,,35,,4,21,11,0,0,0,1,1,5,,43,26,17,,1,0,0,0,0,0,,13,0,21,23
684,Joseph Genest,MTL,,,,,,1,8,3,1,0,1,0,1,0,,23,0,23,,0,0,0,0,0,0,,2,0,8,11
685,Jimmy McGuinness,SD,,185.42,86.184,73,UCSD,1,14,11,0,0,0,1,1,8,,61,19,42,,1,0,0,0,0,0,,0,0,14,17
686,Justin Washington,SEA,,,,1,,6,90,50,2,0,2,1,1,3,,118,58,60,38.0,0,1,0,1,0,1,100.0,1,2,88,83
687,Luke Thomas,ATL,,,,23,,3,33,35,1,0,1,0,1,18,,240,94,146,40.0,0,0,0,0,0,0,,0,20,13,45
688,Mark Donohue,COL,,,,3,,3,35,10,1,0,1,0,1,1,,50,-13,63,,0,0,0,0,0,0,,0,0,35,35
689,Michael Hayes,POR,,,,6,,3,24,12,1,1,0,0,1,3,,65,38,27,,0,0,0,0,0,1,100.0,5,3,21,19
690,Ian Dietrich,PHI,25,180.34,81.648,35,Penn State,2,13,5,1,0,1,0,1,5,,8,14,-6,,1,0,0,0,0,0,,0,0,13,15
691,Josh Bolt,DET,,,,16,,5,14,12,0,0,0,1,1,2,,47,27,20,,0,0,0,0,0,0,,0,0,14,17
692,Jean Caicedo,POR,,,,8,,4,62,31,0,0,0,3,1,35,92.11,254,294,-40,54.84,2,2,0,0,0,1,50.0,0,3,59,57
693,Joe Cercello,CHI,21,200.66,99.792,23,Illinois State University,4,48,26,1,1,0,1,1,5,,144,86,58,53.85,0,1,0,0,0,1,100.0,0,1,47,44
694,John Huang,TOR,,,,54,,2,25,9,1,1,0,0,1,13,,152,137,15,,1,0,1,0,0,1,100.0,0,6,19,22
695,Justin Mills,DAL,,,,37,,1,10,3,1,1,0,0,1,1,,1,8,-7,,0,0,0,0,0,0,,2,0,10,9
696,Kevin Brown,MAD,30,185.42,83.916,92,Wisconsin-Milwaukee,1,3,2,1,1,0,0,1,7,,67,82,-15,,0,0,0,0,0,1,100.0,2,1,2,6
697,Max Ayad,OTT,19,177.8,72.576,83,University of Ottawa,8,88,57,3,0,3,1,1,24,92.31,259,85,174,33.33,1,1,0,2,0,0,,9,6,82,112
698,Matthew Gulbronson,TOR,24,190.5,,77,University of Waterloo,8,110,53,1,1,0,3,1,27,90.0,193,41,152,35.85,0,2,0,1,0,0,,1,11,99,118
699,Matthew Mcknight,CAR,22,185.42,81.648,50,North Carolina,1,21,24,3,2,1,0,1,20,90.91,199,49,150,66.67,2,2,0,0,0,0,0.0,0,21,0,21
700,Mike Miller,BOS,,,,2,,3,18,11,1,0,1,0,1,1,,60,1,59,,0,0,0,0,0,0,,2,1,17,16
701,Noah Chambers,ATX,,187.96,79.38,14,Texas,4,43,18,1,0,1,1,1,4,,127,36,91,,0,1,0,0,0,0,0.0,0,2,41,41
702,Nicholas DiGiorgio,PHI,26,172.72,74.844,45,West Chester,2,27,6,1,1,0,0,1,1,,47,35,12,,0,0,0,0,0,1,100.0,0,0,27,23
703,Robert Alongi,TB,,,,19,,8,65,41,5,3,2,0,1,22,91.67,439,144,295,39.02,2,2,0,2,0,1,50.0,0,13,52,69
704,Ryan Hiser,TB,27,177.8,79.38,7,Florida,3,39,44,6,3,3,2,1,22,70.97,474,240,234,29.55,2,7,0,0,0,1,100.0,2,28,11,46
705,Raphael Salvas,MTL,22,177.8,,15,,8,71,41,2,1,1,1,1,11,,135,60,75,31.71,2,2,0,0,0,0,,0,0,71,101
706,Thomas Echols,COL,28,175.26,58.968,19,Louisiana State,1,8,5,1,1,0,0,1,4,,50,25,25,,3,0,0,0,0,0,,0,0,8,6
707,Tyler Hebert,TB,,,,00,,1,9,10,2,1,1,0,1,9,,91,19,72,,0,0,0,1,0,0,,0,6,3,10
708,Tyler Reinhardt,DAL,,,,34,,11,212,219,20,16,4,0,1,310,94.51,2734,2114,620,46.58,22,17,0,2,0,11,78.57,14,164,48,233
709,Zachery Turner,DET,,,,44,,5,25,15,1,0,1,1,1,3,,82,1,81,,0,1,0,0,0,0,,0,1,24,24
710,Matt Reynolds,PIT,,,,66,,2,18,6,1,0,1,0,1,2,,86,-9,95,,0,0,0,0,0,0,,0,1,17,15
711,Nathanial Dick,BOS,,,,26,,2,39,33,2,0,2,0,1,32,94.12,217,154,63,51.52,4,1,0,0,0,0,,0,16,23,44
712,Quinn Garner,DET,,,,19,,2,28,11,1,0,1,1,1,4,,61,17,44,,1,0,0,1,0,0,,1,0,28,28
713,Reid Duncan,PIT,,,,0,,4,35,14,0,0,0,1,1,3,,31,15,16,,1,0,0,0,0,0,,0,0,35,35
714,Ryan Purcell,ATX,39,172.72,72.576,3,Michigan,1,9,10,0,0,0,1,1,18,,23,70,-47,,0,0,0,0,0,0,,0,0,9,16
715,Tyler Barrett,CHI,26,172.72,84.3696,,University of Iowa,2,28,25,1,0,1,0,1,16,,79,91,-12,88.0,1,0,0,0,0,0,,0,22,6,22
716,Trevor Hawks,OAK,,,,10,,5,68,34,2,0,2,2,1,4,,142,18,124,32.35,1,2,0,1,0,0,,0,0,68,76
717,Troy Holland,DC,29,182.88,81.648,91,Georgetown,3,42,24,1,1,0,0,1,12,,107,61,46,54.17,1,0,0,0,0,0,,0,0,42,53
718,Wayne Lu,LA,27,177.8,,50,UC Irvine,3,24,14,0,0,0,1,1,3,,18,9,9,,0,0,0,0,0,0,,0,0,24,34
719,Aaron Barcio,ATX,,,,30,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
720,Austin Barden,SEA,29,185.42,83.916,25,Chico State,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
721,Alex Cloud,CAR,,,,17,,5,51,40,2,1,1,2,0,34,89.47,256,248,8,50.0,0,3,0,1,0,0,,0,0,51,66
722,Adam Jemal,SEA,21,182.88,72.576,36,,4,35,16,1,1,0,0,0,3,,60,53,7,,0,1,0,0,0,1,100.0,1,1,34,26
723,Ashton Lewis,DAL,,,,85,,2,15,6,0,0,0,0,0,1,,23,-1,24,,0,0,0,0,0,0,,0,0,15,13
724,Alec Mathena,DET,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
725,Adam Miller,ATL,,,,18,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
726,Austin Riegel,DET,23,177.8,70.308,18,Ohio Wesleyan University,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
727,Andrew Thai,ATL,,,,72,,1,10,8,0,0,0,0,0,1,,-3,-8,5,,0,0,0,0,0,0,,0,0,10,13
728,Bryan Downey,COL,,,,36,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
729,Benjamin Ventresca,LA,,,,13,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
730,Alex Cameron,OTT,22,185.42,83.916,86,Carleton University (CAN),1,10,4,0,0,0,0,0,4,,33,27,6,,0,0,0,0,0,0,,0,0,10,11
731,Alex Heath,ATX,,187.96,83.916,31,Rice University,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
732,Allan Laviolette,CAR,33,172.72,65.772,26,Western Washington,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
733,Alex Liu,MAD,,,,13,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
734,Aaron McAdams,TB,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
735,Adnan Raslan,ATL,,187.96,79.38,96,Kent State,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
736,Adam Stautberg,DET,,,,20,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
737,Andrew Watts,TOR,24,185.42,,88,Western Ontario,7,91,73,1,0,1,1,0,46,92.0,340,305,35,43.84,4,2,0,0,0,0,,0,34,57,93
738,Ben Levy,PHI,,,,64,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
739,Bennett Wachob,TB,33,180.34,83.916,96,Florida,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
740,Camilo Barrera,DET,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
741,Corey Bennett,TB,,,,32,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
742,Chris Bubernak,SEA,32,182.88,90.72,21,University of Colorado,1,20,18,1,1,0,1,0,9,,154,88,66,,1,1,0,1,0,0,0.0,0,10,10,19
743,Chris Casella,ATX,,,,69,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
744,Corey Howard,LA,,,,41,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
745,Chris McLaughlin,NY,,,,67,,2,31,17,2,2,0,0,0,14,,64,107,-43,,1,1,0,1,0,0,,0,0,31,29
746,Connor Olson,DAL,,182.88,81.648,22,Oklahoma State,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
747,Conner Stillwell,POR,,,,47,,3,43,20,2,2,0,0,0,9,,154,70,84,40.0,1,2,0,0,0,1,100.0,0,7,36,35
748,Casey Wu,SD,31,182.88,74.844,29,Cal Poly SLO,6,69,80,5,2,3,0,0,28,93.33,474,80,394,56.25,2,2,0,3,0,0,,0,63,6,79
749,Dylan Baker,SEA,,,,78,,2,20,11,0,0,0,0,0,0,,-3,0,-3,,0,0,0,0,0,0,,0,0,20,19
750,Conor Bauman,OAK,,,,44,,4,63,46,1,1,0,2,0,54,93.1,494,334,160,43.48,4,3,0,0,0,1,50.0,8,16,47,71
751,Colum Bergeron,DC,,,,8,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
752,Chris Calhoun,ATL,,,,24,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
753,Connor Dowd,LA,,,,7,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
754,Casey Lemay,TB,,,,86,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
755,CJ O'Brien,CHI,34,187.96,92.988,84,Illinois,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
756,Caleb Stanish,DET,,,,61,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
757,Christian Woodfin,LA,,,,32,,4,27,8,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,27,28
758,Cameron Baker,SEA,22,180.34,97.524,47,University of Washington,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
759,David Braden,PIT,,,,3,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
760,Daniel Buwalda,TB,,,,14,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
761,Dean Culver,PIT,,,,17,,3,35,15,0,0,0,0,0,17,,-18,32,-50,,1,0,0,0,0,0,,2,1,34,35
762,Daniel Mah,SD,,182.88,72.576,24,Western Washington,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
763,Donovan Murphy,TB,,,,6,,1,6,3,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,3,3,4
764,Dave Richmond,DET,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
765,Dean Stupar,TB,,,,43,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
766,David Zhou,SEA,20,172.72,58.968,2,University of Washington,4,68,41,2,0,2,1,0,20,90.91,265,167,98,43.9,3,2,0,1,0,1,100.0,0,9,59,66
767,Elliot Deeds,DET,,,,8,,1,4,6,0,0,0,0,0,1,,12,9,3,,0,0,0,0,0,0,,0,3,1,3
768,Eoin Joyce,PIT,,,,99,,3,34,15,0,0,0,1,0,6,,91,31,60,,1,1,0,0,0,0,,3,1,33,34
769,Everett Saunders,SLC,,,,16,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
770,Dominic Cavalero,SEA,,,,7,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
771,Dex Luecke,COL,,,,31,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
772,Dodger Middlebrook,LA,,,,22,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
773,David Nester,MAD,,,,11,,1,14,22,1,1,0,0,0,4,,54,5,49,45.45,1,1,0,0,0,0,,0,14,0,16
774,Dan Silverstein,OAK,,,,45,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
775,Daniel Wong,TOR,29,180.34,,24,York University,2,25,23,1,1,0,0,0,9,,111,13,98,52.17,2,1,0,0,0,0,,0,19,6,21
776,Erica Brown,PHI,,,,32,,1,11,9,0,0,0,0,0,6,,20,8,12,,0,0,0,0,0,0,,7,2,9,17
777,Ed Fox,DET,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
778,Elliot Perpich,DET,,,,0,,7,83,35,1,1,0,1,0,34,94.44,229,221,8,22.86,1,2,0,0,0,1,100.0,1,1,82,86
779,Eric Sjostrom,TB,,,,27,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
780,Gabriel Doble,LA,,,,11,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
781,Gabe Webster,DC,34,187.96,77.112,23,Union College,2,27,16,0,0,0,1,0,2,,35,11,24,,0,1,0,0,0,0,,0,0,27,28
782,Henry Laseter,BOS,,,,16,,1,6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,6,4
