,Name,Team,Age,Height_cm,Weight_kg,Jersey_no,College,Games_played,Points_played,Posessions,Total scores,Assists,Goals,Blocks,+-,Completions,Cmp%,Yards,Throwing Yards,Receiving Yards,Offensive Effic,Hockey assists,Throwaways,Stalls,Drops,Calahans,Hucks,Huck completion %,Pulls,Offensive PP,Defensive PP,Minutes played
330,Isaac Leonard,MIN,25,185.42,83.916,17,Mankato State,7,94,67,7,3,4,4,11,17,,468,89,379,46.27,0,0,0,0,0,0,,0,4,90,115
331,Kelsen Alexander,MAD,,,,55,,11,151,114,16,7,9,2,11,134,95.71,1437,985,452,61.4,11,6,1,1,0,4,80.0,1,46,105,165
332,Kelvin Williams,ATL,33,190.5,,11,Alabama,9,125,70,7,3,4,4,11,16,,305,98,207,57.14,2,0,0,0,0,1,100.0,0,3,122,183
333,Peter Geertz-Larson,SEA,31,172.72,70.308,20,Puget Sound,11,166,221,21,3,18,2,11,46,86.79,1371,154,1217,46.61,6,6,0,6,0,1,50.0,0,155,11,211
334,Sam Ward,MIN,,170.18,58.968,4,Oklahoma,8,109,79,10,1,9,5,11,17,85.0,482,99,383,56.96,1,3,0,1,0,0,,12,5,104,117
335,Tom Doi,POR,,,,93,Green Mountain College,4,82,109,18,5,13,1,11,56,88.89,1088,220,868,55.05,2,7,0,1,0,0,0.0,0,82,0,93
336,Thomas Slack,DAL,,172.72,63.504,27,Texas A&M,7,131,165,14,6,8,2,11,88,93.62,890,315,575,43.64,5,5,1,0,0,3,60.0,0,123,8,168
337,Cam Wariner,BOS,,,,24,,6,123,68,10,5,5,7,10,31,81.58,731,235,496,45.59,3,7,0,0,0,1,50.0,0,14,109,120
338,David Petsinis,TOR,21,175.26,,16,Ryerson University,11,147,86,11,7,4,3,10,54,93.1,828,511,317,51.16,6,4,0,0,0,2,50.0,4,35,112,145
339,Eli Park,TOR,21,190.5,,63,Queen's University,12,262,202,22,12,10,9,10,158,88.76,2878,1805,1073,50.0,17,17,0,4,0,9,60.0,9,129,133,252
340,Eric Witmer,PHI,29,175.26,72.576,13,Messiah University,12,273,151,12,7,5,12,10,126,91.3,1173,543,630,41.06,11,10,0,4,0,0,0.0,0,3,270,320
341,Griffin Miller,DAL,,180.34,65.772,1,Spring Hill,4,58,53,10,4,6,2,10,26,92.86,505,173,332,50.94,1,2,0,0,0,2,100.0,0,40,18,68
342,Justin Allen,CAR,31,185.42,72.576,1,Appalachian State,8,105,50,9,0,9,2,10,14,,519,141,378,58.0,1,1,0,0,1,1,100.0,13,0,105,115
343,Jack Nelson,MAD,,,,29,,8,123,54,5,2,3,7,10,13,,272,35,237,51.85,0,2,0,0,0,0,,46,1,122,139
344,Kelvin Huang,TOR,24,167.64000000000001,,26,University of Toronto,7,117,65,14,4,10,1,10,15,75.0,612,150,462,40.0,1,5,0,0,0,2,66.67,0,19,98,120
345,Matthew Rehder,SEA,31,193.04,92.988,14,,2,42,61,11,6,5,4,10,32,88.89,812,259,553,47.54,1,4,0,1,0,2,33.33,3,38,4,50
346,Noah Saul,CAR,33,182.88,78.0192,24,North Carolina,8,136,108,11,7,4,3,10,140,96.55,882,848,34,56.48,7,4,0,0,0,1,33.33,26,49,87,163
347,Rick Hennighausen,CAR,,,,9,,10,121,65,7,3,4,6,10,18,85.71,437,100,337,55.38,5,3,0,0,0,0,0.0,42,1,120,135
348,Tristan Van de Moortele,MIN,,,,99,,13,210,158,13,7,6,7,10,196,93.78,1271,1041,230,52.53,13,10,1,0,0,0,0.0,16,34,176,245
349,Anthony Prato,PHI,,,,11,,11,207,221,17,7,10,4,9,205,95.35,1718,1182,536,52.04,12,9,0,3,0,5,62.5,7,137,70,244
350,Felix Pronove,COL,,,,4,,12,138,73,12,7,5,2,10,55,93.22,851,525,326,57.53,7,3,0,1,0,2,40.0,41,0,138,157
351,Ian Hahn,MIN,,,,14,,10,134,83,6,2,4,5,10,39,100.0,595,203,392,56.63,5,0,0,1,0,0,,0,5,129,160
352,Jon Morris,COL,,,,32,,8,91,53,4,1,3,6,10,11,,147,26,121,47.17,0,0,0,0,0,0,,0,0,91,100
353,Jon Snyder,POR,,,,24,,7,134,178,17,4,13,3,10,117,92.13,1365,611,754,44.94,13,7,0,3,0,3,60.0,0,134,0,158
354,Mike Kobyra,NY,,,,44,,9,136,100,7,3,4,9,10,21,87.5,343,140,203,55.0,4,3,0,3,0,0,,0,1,135,154
355,Mason Wuensch,DAL,,,,12,,10,164,130,17,8,9,4,10,82,86.32,1319,704,615,36.15,3,11,0,0,0,7,70.0,37,56,108,170
356,Porter Oyler,SLC,,,,17,,8,129,88,8,1,7,7,10,32,88.89,702,280,422,45.45,6,4,0,1,0,2,50.0,82,3,126,132
357,Tim McAllister,CAR,28,180.34,83.916,51,North Carolina,8,146,75,8,2,6,7,10,32,84.21,588,173,415,49.33,3,4,0,1,0,1,100.0,15,3,143,167
358,Andrew Meshnick,MAD,33,187.96,83.916,2,Wisconsin,9,186,154,17,10,7,6,9,88,86.27,1568,850,718,46.75,3,13,0,1,0,6,54.55,0,69,117,215
359,Curtis Campbell,OTT,24,,74.844,17,,8,105,94,11,8,3,3,9,74,96.1,763,474,289,43.62,2,2,0,3,0,2,100.0,0,47,58,122
360,Dan Cunningham,IND,,,,6,,11,159,75,11,4,7,1,9,52,92.86,474,280,194,58.67,5,3,0,0,0,0,,0,15,144,157
361,Emmanuel Bilolo,DAL,,,,4,,9,184,229,25,15,10,4,9,104,84.55,2070,639,1431,43.67,9,19,0,1,0,3,42.86,0,179,5,194
362,Jeffrey Burris,IND,,,,26,,10,109,51,7,3,4,4,9,20,86.96,620,194,426,52.94,3,2,0,0,0,2,100.0,0,7,102,96
363,Jackson Potts,ATX,21,190.5,77.112,28,Texas State,10,123,73,9,5,4,4,9,49,90.74,884,347,537,43.84,0,4,0,0,0,0,,24,6,117,122
364,Jeff Zhao,SEA,26,177.8,70.308,99,University of Chicago,9,175,201,18,10,8,7,9,293,93.91,2386,1973,413,46.27,19,14,1,2,0,10,71.43,7,128,47,199
365,Leander Ramirez,SEA,24,180.34,81.648,12,Western Washington University,4,85,116,13,5,8,1,9,84,93.33,1349,500,849,44.83,9,3,0,2,0,4,80.0,0,85,0,104
366,Matthew Knowles,ATL,36,182.88,,3,Western Washington,8,98,56,8,7,1,2,9,32,94.12,347,339,8,53.57,0,1,0,0,0,0,,0,0,98,151
367,Nate Ransom,LA,28,177.8,,25,UC Santa Barbara,9,165,187,22,8,14,2,9,203,93.55,1936,1322,614,52.94,8,14,1,1,0,2,25.0,1,116,49,196
368,Reggie Sung,SD,30,175.26,68.04,12,Cal Poly SLO,12,135,77,7,1,6,6,9,17,73.91,466,109,357,37.66,1,4,0,0,0,0,0.0,0,1,134,154
369,Andrew McKelvey,CAR,28,180.34,70.308,30,Central Florida,8,78,44,6,4,2,2,8,10,,288,88,200,56.82,2,0,0,0,0,2,100.0,0,1,77,99
370,David Shields,DC,28,177.8,72.576,36,Pennsylvania,8,118,69,10,6,4,4,9,72,93.51,679,648,31,59.42,6,4,0,1,1,6,66.67,25,7,111,120
371,Ian McCosky,MAD,,,,23,,8,146,104,8,6,2,4,9,123,97.62,944,660,284,50.96,15,3,0,0,0,1,50.0,0,34,112,166
372,Jonny Hoffman,SLC,,,,24,,7,104,83,10,1,9,5,9,27,87.1,870,137,733,50.6,4,3,0,3,0,0,0.0,0,22,82,95
373,Jacob Wham,MAD,,,,12,,10,159,167,15,5,10,1,9,53,88.33,1219,316,903,51.5,6,7,0,0,0,0,0.0,26,113,46,164
374,Kevin Jay,TOR,37,187.96,,4,Trent University,10,171,109,15,9,6,1,9,94,92.16,1360,870,490,40.37,4,6,0,1,0,2,66.67,11,51,120,174
375,Matthew Bristol,COL,,,,8,,12,157,90,9,4,5,5,9,30,96.77,531,162,369,58.89,5,1,0,4,0,1,100.0,0,0,157,185
376,Marc Munoz,SEA,22,172.72,72.1224,11,,10,208,166,21,11,10,5,9,217,90.42,2487,1796,691,43.98,20,15,1,2,0,7,46.67,1,64,144,215
377,Player Pierce,CAR,31,190.5,,19,Tennessee-Chattanooga,6,75,41,7,5,2,5,9,47,94.0,451,439,12,53.66,3,3,0,0,0,5,71.43,11,1,74,93
378,Alan Kolick,DC,,,,90,,4,58,56,8,4,4,1,8,71,100.0,669,406,263,62.5,6,0,1,1,0,0,,1,41,17,70
379,Chris Ellis,DET,,,,32,,12,208,100,5,3,2,4,8,66,98.51,546,391,155,38.0,4,1,0,0,0,1,50.0,2,21,187,203
380,Connor Fortin,NY,29,177.8,83.916,5,Rochester Institute of Technology,10,129,90,10,1,9,2,8,21,80.77,515,24,491,53.33,1,4,0,0,0,0,,0,11,118,147
381,Dan Benvenuti,OTT,40,180.34,81.648,39,,4,63,31,2,0,2,6,8,6,,97,9,88,25.81,0,0,0,0,0,0,,0,9,54,60
382,David Richardson,CAR,31,190.5,90.2664,84,Lenoir-Rhyne,8,135,70,5,0,5,4,8,10,,359,91,268,55.71,4,0,0,1,0,0,,1,2,133,135
383,Eric Nardelli,PHI,29,182.88,81.648,99,University of Delaware,13,202,107,10,2,8,7,8,78,90.7,642,400,242,44.86,7,7,0,2,0,1,25.0,17,11,191,232
384,Hunter Lang,BOS,,,,29,,6,86,111,10,1,9,1,8,38,97.44,466,194,272,45.95,4,1,0,2,0,0,0.0,0,85,1,90
385,Ian Engler,PIT,,,,12,,5,117,141,15,13,2,2,8,296,96.42,2494,1978,516,50.35,10,9,0,0,0,2,50.0,0,109,8,131
386,Kevin Healey,DC,,,,18,,5,84,108,7,1,6,2,8,29,96.67,613,91,522,59.26,1,1,0,0,0,0,,0,83,1,97
387,Mike Arcata,PHI,30,187.96,79.38,15,University of Connecticut,5,90,70,14,9,5,4,8,53,81.54,886,505,381,50.0,3,10,0,0,0,4,100.0,29,34,56,96
388,Mick Walter,ATX,33,198.12,92.988,26,St. Edward's University,8,112,87,4,1,3,6,8,40,93.02,402,139,263,45.98,4,2,0,0,0,0,,1,17,95,121
389,Tim Lootens,TB,,,,1,Florida State,11,186,170,13,6,7,5,8,171,93.44,1160,1033,127,33.53,11,9,0,1,0,1,100.0,3,91,95,221
390,Chase Marty,MAD,27,187.96,88.452,42,Wisconsin-Whitewater,8,102,74,7,1,6,3,8,20,95.24,331,23,308,54.05,2,1,0,1,0,0,,0,33,69,112
391,Dennis Casio,SEA,27,170.18,72.576,5,Western Washington,7,124,181,12,8,4,2,8,265,95.67,1852,1456,396,47.51,12,5,0,1,0,2,33.33,0,122,2,162
392,Eddie Finley,LA,32,190.5,,44,University of Delaware,12,153,83,5,0,5,8,8,18,85.71,417,-26,443,36.14,3,2,0,3,0,0,0.0,0,10,143,171
393,Felix Leonard,MTL,22,170.18,,19,U Sherbrooke,12,154,117,15,13,2,0,8,124,91.85,1546,904,642,51.28,13,7,0,0,0,2,100.0,1,67,87,157
394,Hayden Stone,MTL,,190.5,79.38,14,McGill,8,153,178,16,5,11,0,8,100,92.59,1448,432,1016,50.56,12,6,0,2,0,0,,0,139,14,177
395,Kai DeLorenzo,MAD,,,,1,,8,149,183,21,12,9,5,8,125,88.03,2688,1221,1467,51.37,14,16,0,2,0,10,76.92,0,143,6,169
